No,ECAR PART,SUBPART,Subpart Section,Subpart Subsection,SUBPART HEADING,SUBPART SECTION HEADING,REGULATION  STATEMENT
1,121,A,121.100,A,General,Applicability,"(a) Except as prescribed in paragraph (b) of this section, this Part prescribes rules governing
the certification and operations of the following"
2,121,A,121.100,-,General,Applicability,"(1) Each air operator engaging in international or domestic air transportation under an air
operator certificate (AOC) issued by the Egyptian Civil Aviation Authority (ECAA).
This includes both air carrier and air taxi certificates;"
3,121,A,121.100,-,General,Applicability,"(2) Each AOC holder covered by this section when engaging in charter flights or other
special service operations; and"
4,121,A,121.100,-,General,         Applicability,"(3) Each AOC holder when it engages in the carriage of persons or property for
compensation or hire under an air operator certificate issued by the ECAA."
5,121,A,"121.1
",B,General,Applicability,"(b) In addition, this Part prescribes rules governing:"
6,121,A,121.100,-,General,Applicability,"(1) Each person employed or used by an air operator in operations under this Part,
including the maintenance, preventive maintenance, and alteration of aircraft; and"
7,121,A,121.100,-,General,Applicability,(2) Each person who is on-board an aircraft being operated under this Part
8,121,A,"121.1
",C,General,Applicability,"(c) The rules of Part 91 apply also to the 121 certificate holders unless more stringent rules are
mentioned in this Part"
9,121,A,121.200,A,General,Definitions for the purpose of this Part,"(a) “Passenger-carrying aircraft” or “passenger-carrying operation” means one carrying any
person other than a person listed in 121.583, or carrying any person other than a cockpit
crewmember or other crewmember, company employee, authorized government
representative, or person accompanying a shipment"
10,121,A,121.200,B,General,Definitions for the purpose of this Part ,"(b) “Air Taxi Operations “
Operations conducted by Egyptian air operator, in an air transport service, of any of the
following"
11,121,A,"

121.2",-,General,Definitions for the purpose of this Part,"(1) Airplane having a maximum seating capacity of less than 50, including any required
crewmember seat or a maximum certificated take-off mass of less than 20,500 kg"
12,121,A,121.200,-,General,   Definitions for the purpose of this Part,"(2) Any aircraft that is authorized by the ECAA president to be operated under this
operation"
13,121,A,121.200,C,General, Definitions for the purpose of this Part,"(c) “Air carrier Operations“
Operations conducted by Egyptian air operator, in an air transport service, of any of the
following"
14,121,A,"121.2
",-,General, Definitions for the purpose of this Part,"(1) Airplane having a maximum seating capacity of (50 or more ) including any required
crewmember seat and a maximum certificated take-off mass of (20,500 or more )."
15,121,A,121.200,-,General, Definitions for the purpose of this Part,"(2) Any aircraft that is authorized by the ECAA president to be operated under this
Subpart."
16,121,A,121.200,D,General, Definitions for the purpose of this Part,(d) “Egyptian citizen” means one of the following:
17,121,A,121.200,-,General, Definitions for the purpose of this Part,(1) An individual who is a citizen of Egypt;
18,121,A,121.200,-,General, Definitions for the purpose of this Part,(2) A partnership of which each member is such an individual; and
