No,GACAR PART,SUBPART,APPENDIX,Subpart/ Appendix SECTION,Subpart / Appendix SUB-SECTION,OPS AREA,AREAS,SUBPART / APPENDIX HEADING,SUBPART SECTION / APPENDIX SECTION HEADING,REGULATION  STATEMENT,"COMPLIANCE STATUS
""C""""NC""N/A""""NF""",Department,AOC,Auditor Checklist Query,,,PRIMARY MANUAL,PRIMARY REFERENCE,SECONDARY MANUAL,SECONDARY REFERENCE,AUDITOR COMMENTS,AREAS EFFECTED,"REVIEW STATUS ""NC, N/A, RF, DEL""",DEPARTMENTAL APPROVAL,UPDATE STATUS,AREAS EFFECTED CORRECTED,REMARKS/ COMMENTS,QA FINAL CHECK,DEPARTMENT COMMENTS,QA COMMENTS,CHECK OTHER REFERENCE,
,,,,,,,,,,,,,,Documentation,Implemention,Evidence,,,,,,,,,,,,,,,,
1,109,SUBPART A,,109.1,a,,,General,Applicability,"Except as provided in paragraphs (c) and (d) of this section, this part prescribes rules
governing the offering, preparation, and transportation of dangerous goods by air in the Kingdom
of Saudi Arabia.",N/A,DGR,,,,,-,-,-,-,,,-,,,,,,,,,
2,109,SUBPART A,,109.1,b,,,General,Applicability,This part applies to—,N/A,DGR,,,,,-,-,-,-,,,-,,,,,,,,,
3,109,SUBPART A,,109.1,-,,,General,Applicability,"(1) Aircraft operators involved in the transportation of dangerous goods to, from, or within
the Kingdom of Saudi Arabia and to any aircraft registered in the Kingdom of Saudi Arabia;",N/A,DGR,,,,,-,-,-,-,,,-,,,,,,,,,
4,109,SUBPART A,,109.1,-,,,General,Applicability,"(2) Any person who performs, attempts to perform or is required to perform any function
subject to this part including operators, ground handling agents, shippers, freight forwarders
and their flight and nonflight employees, agents, and subsidiary and contract personnel;",N/A,DGR,,,,,-,-,-,-,,,-,,,,,,,,,
5,109,SUBPART A,,109.1,-,,,General,Applicability,(3) Any person who offers any dangerous goods for transportation by air; and,N/A,DGR,All 121,,,,-,-,-,-,,,,,,,,,,,,
6,109,SUBPART A,,109.1,-,,,General,Applicability,"(4) Air passenger who carry dangerous goods on their person or in their carry-on or checked
baggage.",C,,,,,,P-DGR,3.3.3,-,-,,,,,,,,,,,,
7,109,SUBPART A,,109.1,c,,,General,Applicability,"(c) Operators certificated under General Authority of Civil Aviation (GACA) Regulation
(GACAR) Part 119 or 133, and foreign air carriers authorized under GACAR Part 129, who have
not been authorized by the President to transport dangerous goods by air must only comply with
the following sections of this part:",A,DGR,,,,,-,-,-,-,,,,,,,,,,,,
8,109,SUBPART A,,109.1,-,,,General,Applicability,"(1) GACAR § 109.83, Information for Passengers;",C,DGR,All 121,,,,P-DGR,4.7.3,-,-,,,,,,,,,,,,
9,109,SUBPART A,,109.1,-,,,General,Applicability,"(2) GACAR § 109.85, Information for Other Persons;",C,DGR,,,,,P-DGR,4.7,-,-,,,,,,,,,,,,
10,109,SUBPART A,,109.1,-,,,General,Applicability,"(3) GACAR §§ 109.101 through 109.103, Subpart F – Dangerous Goods Training;",C,DGR,,,,,P-DGR,8,-,-,,,,,,,,,,,,
11,109,SUBPART A,,109.1,-,,,General,Applicability,"(4) GACAR § 109.113, Operator’s Dangerous Goods Manual;",A,DGR,,,,,-,-,-,-,,,,,,,,,,,,
12,109,SUBPART A,,109.1,-,,,General,Applicability,"(5) GACAR § 109.121, Dangerous Goods Accident and Incident Reporting Requirements;",C,DGR,,,,,P-DGR,4.6,-,-,,,,,,,,,,,,
13,109,SUBPART A,,109.1,-,,,General,Applicability,"(6) GACAR § 109.123, Dangerous Goods Discrepancy Reporting; and",C,DGR,,,,,P-DGR,6.4,-,-,,,,,,,,,,,,
14,109,SUBPART A,,109.1,-,,,General,Applicability,"(7) GACAR § 109.125, Dangerous Goods Training Records.",C,DGR,,,,,P-DGR,8.7,-,-,,,,,,,,,,,,
15,109,SUBPART A,,109.1,d,,,General,Applicability,"(d) Operators not certificated under GACAR Part 119 or 133, and foreign-registered aircraft not
authorized under GACAR Part 129, who transport dangerous goods by air must only comply with
the following sections of this part:",N/A,DGR,,,,,-,-,-,-,,,,,,,,,,,,
16,109,SUBPART A,,109.1,-,,,General,Applicability,"(1) GACAR § 109.3, General Limitations on the Transport of Dangerous Goods;",N/A,DGR,,,,,-,-,-,-,,,,,,,,,,,,
17,109,SUBPART A,,109.1,-,,,General,Applicability,"(2) GACAR § 109.5, Exceptions for Operators, Crew Members and Passengers;",N/A,DGR,,,,,-,-,-,-,,,,,,,,,,,,
18,109,SUBPART A,,109.1,-,,,General,Applicability,"(3) GACAR § 109.89, Information in the Event of an Aircraft Accident or Incident;",N/A,DGR,,,,,-,-,-,-,,,,,,,,,,,,
19,109,SUBPART A,,109.1,-,,,General,Applicability,"(4) GACAR § 109.91, Information in the Event of an In-Flight Emergency; and",N/A,DGR,,,,,-,-,-,-,,,,,,,,,,,,
20,109,SUBPART A,,109.1,-,,,General,Applicability,"(5) GACAR § 109.121, Dangerous Goods Reporting Requirements.",N/A,DGR,,,,,-,-,-,-,,,,,,,,,,,,
21,109,SUBPART A,,109.1,e,,,General,Applicability,"(e) For the purposes of this part, the preparation of dangerous goods for transportation by air
includes:",A,DGR,,,,,-,-,-,-,,,,,,,,,,,,
