No,GACAR PART,SUBPART,APPENDIX,SUBPART/ APPENDIX SECTION,SUBPART/ APPENDIXSUB SECTION,OPS AREA,AREAS,SUBPART/ APPENDIX  HEADING,SUBPART SECTION / APPENDIX SECTION HEADING,REGULATION  STATEMENT,Department,AOC,Auditor Checklist Query,,
1,121,SUBPART A,-,121.1,a,-,ORG,GENERAL,Applicability,"(a)Except as provided in paragraph (b) of this section, this part prescribes rules governing—
",FLT,All 121,NO,NO,NO
1,121,SUBPART A,-,121.1,a1,-,ORG,GENERAL,Applicability,"
(1) The scheduled and unscheduled operations of a commercial air operator operating transport category airplanes, transport category rotorcraft, or commuter category airplanes that holds or is required to hold an Air Operator Certificate (AOC) under General Authority of Civil Aviation Regulation (GACAR) Part 119.",FLT,All 121,NO,NO,NO
1,121,SUBPART A,-,121.1,a2,-,ORG,GENERAL,Applicability,(2) Each person employed or used by a certificate holder conducting operations under this part;,FLT,All 121,NO,NO,NO
1,121,SUBPART A,-,121.1,a3,-,ORG,GENERAL,Applicability,(3) Each person who is onboard an aircraft being operated under this part; and,FLT,All 121,NO,NO,NO
1,121,SUBPART A,-,121.1,a4,-,ORG,GENERAL,Applicability,(4) Each person who is an applicant for an AOC under GACAR Part 119 with authorization from the President.,FLT,All 121,NO,NO,NO
1,121,SUBPART A,-,121.1,b,-,ORG,GENERAL,Applicability,"(b) The President may authorize temporary relief from certain sections of this part for the purpose of ferrying, training, positioning, maintenance, or other special purposes, provided the certificate holder demonstrates to the President that the operation can be conducted with an acceptable level of safety under specified conditions and limitations.",FLT,All 121,NO,NO,NO
1,121,SUBPART A,-,121.5,a,-,ORG,GENERAL,General,"For the purposes of this part, aircraft groups are: 
",ORG,All 121,NO,NO,NO
1,121,SUBPART A,-,121.5,a1,-,ORG,GENERAL,General,"
(1) Turbopropeller powered airplanes.
",ORG,All 121,NO,NO,NO
1,121,SUBPART A,-,121.5,a2,-,ORG,GENERAL,General,(2) Turbojet powered airplanes.,ORG,All 121,NO,NO,NO
1,121,SUBPART A,-,121.5,a3,-,ORG,GENERAL,General,(3) Rotorcraft.,ORG,All 121,NO,NO,NO
1,121,SUBPART A,-,121.5,b,-,ORG,GENERAL,General,"(b) For the purposes of this part, when it is necessary to distinguish certain requirements for unscheduled operations that are only applicable to aircraft with a type certificated passenger seating capacity of 56
seats or less (excluding required crew members), the term special unscheduled is used.",ORG,121U,NO,NO,NO
1,121,SUBPART A,-,121.5,c,-,ORG,GENERAL,General,"(c) For the purposes of this part, all cargo operations are considered unscheduled operations. ",ORG,121U,NO,NO,NO
1,121,SUBPART A,-,121.5,d,-,ORG,GENERAL,General,"d) For the purposes of this part, certificate holder means a GACAR Part 119 AOC holder operating under this part.",FLT,All 121,NO,NO,NO
1,121,SUBPART A,-,121.9,-,-,FLT,GENERAL,Rules Applicable to Operations Outside of the Kingdom of Saudi Arabia,"Each certificate holder must, while operating an aircraft outside of the Kingdom of Saudi Arabia (KSA), comply with GACAR § 91.475, except where any rule of this part is more restrictive and may be followed without violating the rules of that country.",FLT,All 121,YES,YES,YES
1,121,SUBPART A,-,121.13,-,-,FLT,GENERAL,Carriage of Psychoactive Substances,"If the certificate holder permits any aircraft owned or leased by that holder to be engaged in any operation that the certificate holder knows to be in violation of GACAR § 91.23, that operation is a basis for suspending or revoking the certificate.",FLT,All 121,YES,YES,YES
1,121,SUBPART A,-,121.17,a,-,"FLT, DSP, MNT, QA",GENERAL,Documents To Be Carried on Board ,"In addition to the requirements of GACAR § 91.9, the certificate holder must carry on board—
(a) A true copy of the AOC, and a copy of the operations specifications, issued in conjunction with the certificate; and",FLT,All 121,YES,YES,YES
1,121,SUBPART A,-,121.17,b,-,"FLT, DSP, MNT, QA",GENERAL,Documents To Be Carried on Board ,"(b) When applicable, a true copy of the Article 83bis agreement.",FLT,All 121,YES,YES,YES
1,121,SUBPART A,-,121.21,,-,"FLT, DISP, CAB, MNT",GENERAL,Surrender of International Crew Member Certificate,"The holder of an international crew member certificate issued by the President, or the air operator by whom the holder is employed, must surrender the certificate to the General Authority of Civil Aviation (GACA) for cancellation at the termination of the holder’s employment with that air operator.",FLT,All 121,YES,YES,YES
1,121,SUBPART A,-,121.25,a,-,ALL,GENERAL,Code Share Safety Monitoring System,"Each certificate holder who implements a code share agreement with a foreign air carrier must establish and maintain a code share safety monitoring program acceptable to the President. The code share safety monitoring program must include the following elements:
(a) Safety audits of the code share partner to the International Air Transport Association Operational Safety Audit standard, or another standard acceptable to the President. These audits must be performed at least every 2 years by an auditing agency acceptable to the President.",FLT,All 121,NO,NO,NO
1,121,SUBPART A,-,121.25,b,-,ALL,GENERAL,Code Share Safety Monitoring System,"b) The assignment of specified management personnel for the purposes of—
",FLT,All 121,NO,NO,NO
1,121,SUBPART A,-,121.25,b1,-,ALL,GENERAL,Code Share Safety Monitoring System,"
(1) Continuously monitoring the code share partner’s accident rate and risk indicators affecting safety.",FLT,All 121,NO,NO,NO
1,121,SUBPART A,-,121.25,b2,-,ALL,GENERAL,Code Share Safety Monitoring System,(2) Ensuring audits required by paragraph (a) of this section are performed within the specified timeframes and the results are analyzed to ensure an acceptable level of safety is maintained by the code share partner.,FLT,All 121,NO,NO,NO
1,121,SUBPART A,-,121.25,b3,-,ALL,GENERAL,Code Share Safety Monitoring System,(3) Maintaining liaison with the GACA and immediately report to the GACA if the code share partner fails to achieve satisfactory results following an audit required by paragraph (a) of this section.,FLT,All 121,NO,NO,NO
1,121,SUBPART B,-,121.45,a,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"(a) Except as provided in paragraph (b) of this section for special unscheduled operations, each certificate holder conducting scheduled and unscheduled operations under this part must have sufficient qualified management and technical personnel to ensure the safety of its operations. The certificate holder must have qualified personnel serving full time in the following or equivalent positions:
",FLT,All 121,NO,NO,NO
1,121,SUBPART B,-,121.45,a1,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"
(1) Director of safety;
",FLT,All 121,NO,NO,NO
1,121,SUBPART B,-,121.45,a2,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"
(2) Director of operations;
",FLT,All 121,NO,NO,NO
1,121,SUBPART B,-,121.45,a3,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"
(3) Chief pilot;
",FLT,All 121,NO,NO,NO
1,121,SUBPART B,-,121.45,a4,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"

(4) Director of maintenance; and
",FLT,All 121,NO,NO,NO
1,121,SUBPART B,-,121.45,a5,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,(5) Chief inspector.,FLT,All 121,NO,NO,NO
1,121,SUBPART B,-,121.45,b,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"(b) Each certificate holder conducting special unscheduled operations under this part must have sufficient qualified management and technical personnel to ensure the safety of its operations. The certificate holder must have qualified personnel serving in the following or equivalent positions:

",FLT,121SU,NO,NO,NO
1,121,SUBPART B,-,121.45,b1,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"
(1) Director of operations;
",FLT,121SU,NO,NO,NO
1,121,SUBPART B,-,121.45,b2,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"
(2) Chief pilot; and
",FLT,121SU,NO,NO,NO
1,121,SUBPART B,-,121.45,b3,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"
(3) Director of maintenance",FLT,121SU,NO,NO,NO
