No,GACAR PART,SUBPART,APPENDIX,SECTION,SUB-SECTION,SUB-SECTION,OPS AREA,AREAS,SUBPART / APPENDIX HEADING,SUBPART SECTION / APPENDIX SECTION HEADING,REGULATION  STATEMENT,,,,,,
1,4,SUBPART A,-,4.1,,a,-,,GENERAL,General,"(a) For the purpose of this part, an aviation safety occurrence means any safety-related event which endangers or which, if not corrected or addressed, could endanger an aircraft, its
occupants, or any other person.",,,,,,
1,4,SUBPART A,-,4.1,,b,-,,GENERAL,General,"(b) Aviation safety occurrences that represent a risk to aviation safety require mandatory reporting to the President. Mandatory occurrence reporting system requires certificate holders to
report accidents, incidents, aircraft defects, and other occurrences related to failures of facilities and systems in the air navigation services, aerodromes, and ground services.",,,,,,
1,4,SUBPART A,-,4.1,,c,-,,GENERAL,General,(c) The reporting of occurrences not covered under the mandatory reporting system is referred to as a voluntary reporting system. The voluntary reporting system includes confidential reporting of safety issues by any person.,,,,,,
1,4,SUBPART A,-,4.1,,d,-,,GENERAL,General,"(d)Aviation safety occurrences include aircraft accidents, incidents, aircraft defects, failure of facilities or systems in aerodromes and air traffic services, failure of air navigation facility, or use of erroneous procedures that become hazardous to the safe operation of aircraft.",,,,,,
1,4,SUBPART A,-,4.3,,a,-,,GENERAL,Purpose and Scope,"This part –
(a) Stipulates the requirements to certificate holders for initial notification and reporting of accidents and incidents to the AIB and the President.",,,,,,
1,4,SUBPART A,-,4.3,,b,-,,GENERAL,Purpose and Scope,"(b) Describes that notwithstanding the initial notification of occurrence under the mandatory reporting system, the certificate holders must report the incident to the AIB and President, giving all relevant details.",,,,,,
1,4,SUBPART A,-,4.3,,c,-,,GENERAL,Purpose and Scope,"(c) Describes the procedures of voluntary occurrences reporting if any person wishes to submit a confidential reporting of occurrences. The confidential report may be annotated
‘CONFIDENTIAL’ and addressed to the President.",,,,,,
1,4,SUBPART A,-,4.3,,d1 ,-,,GENERAL,Purpose and Scope,"(d) Requires that for investigating accidents and serious incidents:
(1) Preservation of aircraft, aircraft contents, records, or other evidence following an accident or serious incident.",,,,,,
1,4,SUBPART A,-,4.3,,d2,-,,GENERAL,Purpose and Scope,"(2) Preservation of records and equipment relating to aerodromes, ANS, or other services linking to the accidents or serious incidents.",,,,,,
1,4,SUBPART A,-,4.3,,e,-,,GENERAL,Purpose and Scope,"(e) Lays down requirements to all certificate and authorization holders to report latent hazards identified during internal audits, inspections, GACAR oversights, flight data analysis, ATS
recorder analysis, and trend analysis.",,,,,,
1,4,SUBPART A,-,4.3,,f,-,,GENERAL,Purpose and Scope,"(f) Prescribes requirements for service providers to submit reports to the President on operational performance and aircraft fleet statistics, including incident and accident investigation reports.",,,,,,
1,4,SUBPART A,-,4.3,,g,-,,GENERAL,Purpose and Scope,"(g) Prescribes an integrated set of regulatory requirements for data collection, analysis, and establishing a safety database and information system to manage civil aviation safety under
the Kingdom of Saudi Arabia’s State Safety Program.",,,,,,
1,4,SUBPART A,-,4.5,,a,-,,GENERAL,Applicability.,"(a) This part is applicable for notifying and reporting occurrences related to all Saudi Arabian registered aircraft and ultra-light vehicles operating within the territorial limits or elsewhere,
irrespective of its operation base or place of occurrence.",,,,,,
1,4,SUBPART A,-,4.5,,b,-,,GENERAL,Applicability.,(b) This part is also applicable for reporting accidents and incidents involving foreign-registered aircraft within the territory of the Kingdom of Saudi Arabia.,,,,,,
1,4,SUBPART A,-,4.5,,c1,-,,GENERAL,Applicability.,"(c) This part is applicable for notifying and reporting safety occurrences in the following
approved organizations:
(1) All certificate holders operating under GACAR Part 121, Part 135, Part 125, authorization holders operating under GACAR Part 91, and aircraft repair stations certificated under GACAR Part 145.",,,,,,
1,4,SUBPART A,-,4.5,,c2,-,,GENERAL,Applicability.,"(2) All training schools approved under GACAR Part 141, and other training organizations approved under Part 142, 143 if they use aircraft for the training purpose. The aerial work operators approved under Part 133 must also comply the requirements of
this part.",,,,,,
1,4,SUBPART A,-,4.5,,c3,-,,GENERAL,Applicability.,"(3) Aerodrome and heliports operators certified or authorized as applicable under GACAR Part 137, Part 138, and Part 139; Ground Service providers certificated under GACAR Part 151.",,,,,,
1,4,SUBPART A,-,4.5,,c4,-,,GENERAL,Applicability.,(4) Organizations dealing with the transportation of dangerous goods as prescribed by GACAR Part 109.,,,,,,
1,4,SUBPART A,-,4.5,,c5,-,,GENERAL,Applicability.,"(5) Air Traffic Services providers certified under GACAR § 171, and Aeronautical Telecommunication Service providers operating as per the provisions of GACAR § 173;
and",,,,,,
