No,GACAR PART,SUBPART,Subpart Section,Subpart Subsection,SUBPART HEADING,SUBPART SECTION HEADING,REGULATION  STATEMENT
1,43,A,43.1,A,General,Applicability,"(a) Except as provided in paragraphs (b) and (d) of this section, this part prescribes rules governing the maintenance, preventive maintenance, rebuilding, and alteration of any—"
2,43,A,43.1,-,General,Applicability,(1) Aircraft having a Kingdom of Saudi Arabia airworthiness certificate; and
3,43,A,43.1,-,General,Applicability,"(2) Airframe, aircraft engines, propellers, appliances, and component parts of such aircraft."
4,43,A,43.1,B,General,Applicability,"(b) This part does not apply to any aircraft for which the President has issued an experimental certificate, unless the President has previously issued a different kind of airworthiness certificate for that aircraft."
5,43,A,43.1,C,General,Applicability,"(c) This part applies to all life limited parts removed from a product having a validated or accepted type certificate, segregated or controlled as provided in GACAR § 43.13."
6,43,A,43.1,D,General,Applicability,"(d) Except for the following, this part applies to any aircraft for which the President has issued a special airworthiness certificate in the light-sport category:"
7,43,A,43.1,-,General,Applicability,(1) The repair or alteration form specified in GACAR §§ 43.7(b) and 43.11(d) is not required to be completed for products not produced under an approved production system;
8,43,A,43.1,-,General,Applicability,(2) Major repairs and major alterations for products not produced under an approved production system are not required to be recorded in accordance with Appendix B to this part; and
9,43,A,43.1,-,General,Applicability,(3) The list of major alterations and major repairs specified in paragraphs (a) and (b) of Appendix A to this part is not applicable to products not produced under an approved production system.
10,43,A,43.3,A,General,Records of Overhaul and Rebuilding,"(a) No person may describe in any required maintenance entry or form an aircraft, airframe, aircraft engine, propeller, appliance, or component part as being overhauled unless—"
11,43,A,43.3,-,General,Records of Overhaul and Rebuilding,"(1) Using methods, techniques, and practices acceptable to the President, it has been
disassembled, cleaned, inspected, repaired as necessary, and reassembled; and"
12,43,A,43.3,-,General,Records of Overhaul and Rebuilding,"(2) It has been tested in accordance with approved standards and technical data, or in
accordance with current standards and technical data acceptable to the President, which have been developed and documented by the holder of the type certificate, supplemental type certificate, or an approval under GACAR Part 21."
13,43,A,43.3,B,General,Records of Overhaul and Rebuilding,"(b) No person may describe in any required maintenance entry or form an aircraft, airframe, aircraft engine, propeller, appliance, or component part as being rebuilt unless it has been disassembled, cleaned, inspected, repaired as necessary, reassembled, and tested to the same tolerances and limits as a new item, using either new parts or used parts that either conform to new part tolerances and limits or to approved oversized or undersized dimensions."
14,43,A,43.5,A,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations","(a) Except as provided in this section, no person may maintain, rebuild, alter, or perform preventive maintenance on an aircraft, airframe, aircraft engine, propeller, appliance, or component part to which this part applies. Those items, the performance of which constitutes a major alteration, a major repair, or preventive maintenance, are listed in Appendix A to this part."
15,43,A,43.5,B,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations","(b) The holder of a mechanic certificate may perform maintenance, preventive maintenance, and alterations as provided in GACAR Part 66."
16,43,A,43.5,C,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations","(c) The holder of a repairman certificate or light-sport aircraft (LSA) repairman certificate may perform maintenance, preventive maintenance, and alterations as provided in GACAR Part 66."
17,43,A,43.5,D,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations","(d) A person working under the supervision of a holder of a mechanic or repairman certificate may perform the maintenance, preventive maintenance, and alterations his supervisor is authorized to perform, if the supervisor personally observes the work being done to the extent necessary to ensure that it is being done properly and if the supervisor is readily available, in person, for consultation. However, this paragraph does not authorize the performance of any inspection required by GACAR Part 91 or 125 or any inspection performed after a major repair or alteration."
18,43,A,43.5,E,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations","(e) The holder of a repair station certificate may perform maintenance, preventive maintenance, and alterations as provided in GACAR Part 145."
19,43,A,43.5,F,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations","(f) The holder of an air operator certificate or an operator certificate issued under GACAR Part 121 or 135 may perform maintenance, preventive maintenance, and alterations as provided in GACAR Part 121 or 135."
20,43,A,43.5,G,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations","(g) Except for holders of a sport pilot certificate, the holder of a pilot certificate issued under GACAR Part 61 may perform preventive maintenance on any aircraft owned or operated by that pilot and not used under GACAR Part 121 or 135. The holder of a sport pilot certificate may perform preventive maintenance on an aircraft owned or operated by that pilot and issued a special airworthiness certificate in the light sport category."
21,43,A,43.5,H,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations","(h) Notwithstanding the provisions of paragraph (g) of this section, the President may approve a certificate holder under GACAR Part 135, operating rotorcraft in a remote area, to allow a pilot to perform specific preventive maintenance items provided—"
22,43,A,43.5,-,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations","(1) The items of preventive maintenance are a result of a known or suspected mechanical
difficulty or malfunction that occurred en route to or in a remote area;"
23,43,A,43.5,-,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations",(2) The pilot has satisfactorily completed an approved training program and is authorized in writing by the certificate holder for each item of preventive maintenance the pilot is authorized to perform;
24,43,A,43.5,-,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations",(3) There is no certificated mechanic available to perform preventive maintenance;
25,43,A,43.5,-,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations","(4) The certificate holder has procedures to evaluate the accomplishment of a preventive
maintenance item that requires a decision concerning the airworthiness of the rotorcraft; and"
26,43,A,43.5,-,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations",(5) The items of preventive maintenance authorized by this section are those listed in paragraph (c) of Appendix A to this part.
27,43,A,43.5,-,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations","(i) A pilot may perform the removal and reinstallation of approved aircraft cabin seats, approved cabin mounted stretchers, and when no tools are required, approved cabin mounted medical oxygen bottles, provided—"
28,43,A,43.5,-,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations",(1) The pilot has satisfactorily completed an approved training program and is authorized in writing by the certificate holder to perform each task; and
29,43,A,43.5,-,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations","(2) The certificate holder has written procedures available to the pilot to evaluate the
accomplishment of the task."
30,43,A,43.5,J,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations",(j) A manufacturer may—
31,43,A,43.5,-,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations","(1) Rebuild or alter any aircraft, aircraft engine, propeller, article, or appliance manufactured by him. "
32,43,A,43.5,-,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations",(2) Perform any inspection required by GACAR Part 91 or 125 on aircraft manufactured by him.
33,43,A,43.5,K,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations",(k) Updates of databases in installed avionics meeting the conditions of this paragraph are not considered maintenance and may be performed by pilots provided:
34,43,A,43.5,-,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations",(1) The database upload is:
35,43,A,43.5,-,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations",(i) Initiated from the flight deck;
36,43,A,43.5,-,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations",(ii) Performed without disassembling the avionics unit; and
37,43,A,43.5,-,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations",(iii) Performed without the use of tools and/or special equipment.
38,43,A,43.5,-,General,"Persons Authorized To Perform Maintenance, Preventive Maintenance, Rebuilding, and
Alterations","(2) The pilot must comply with the certificate holder's procedures or the manufacturer's
instructions."
