No,GACAR PART,SUBPART,APPENDIX,SECTION,SUB-SECTION,SUB-SECTION,OPS AREA,AREAS,SUBPART/ APPENDIX HEADING,SUBPART SECTION / APPENDIX SECTION HEADING,REGULATION  STATEMENT
,,,,,,,,,,,
1,5,SUBPART A,-,5.1,,a,-,ORG,GENERAL,Applicability,"This part applies to each certificate holder under-
(a) General Authority of Civil Aviation (GACAR) Part 119 and authorized to conduct air operations in accordance with the requirements of GACAR Parts 121, 125 or 135;"
1,5,SUBPART A,-,5.1,,b,-,ORG,GENERAL,Applicability,(b) GACAR Part 139 (except Heliports) and authorized to conduct aerodrome operations;
1,5,SUBPART A,-,5.1,,c,-,ORG,GENERAL,Applicability,(c) GACAR Part 141 and authorized to conduct flight training operations;
1,5,SUBPART A,-,5.1,,d,-,ORG,GENERAL,Applicability,(d) GACAR Parts 142 and 143 and authorized to conduct flight training operations with actual aircraft;
1,5,SUBPART A,-,5.1,,e,-,ORG,GENERAL,Applicability,"(e) GACAR Part 145 that are located in KSA, and authorized to conduct repair station operations;"
1,5,SUBPART A,-,5.1,,f,-,ORG,GENERAL,Applicability,"(f) After January 1st 2023, GACAR Part 145 Foreign Repair Stations that are located outside KSA, and authorized to conduct repair station operations;"
1,5,SUBPART A,-,5.1,,g,-,ORG,GENERAL,Applicability,(g) GACAR Part 151 and authorized to provide ground services; or
1,5,SUBPART A,-,5.1,,h(i),-,ORG,GENERAL,Applicability,"(h) GACAR Part 170 and authorized to provide air navigation services in accordance with the requirements of GACAR Parts 171, 172, 173, or 175.
(i) GACAR Part 21 to provide certification procedures for products, parts, and appliances."
1,5,SUBPART A,-,5.3,,a1,-,ORG,GENERAL,General Requirements,"(a) Each certificate holder required to have a Safety Management System (SMS) under this part must establish and maintain an SMS that is appropriate to the size, nature and complexity of its organization and its operations. The SMS must include at least the following components:
(1) Safety policy in accordance with the requirements of Subpart B of this part;"
1,5,SUBPART A,-,5.3,,a2,-,ORG,GENERAL,General Requirements,(2) Safety risk management in accordance with the requirements of Subpart C of this part;
1,5,SUBPART A,-,5.3,,a3,-,ORG,GENERAL,General Requirements,(3) Safety assurance in accordance with the requirements of Subpart D of this part;
1,5,SUBPART A,-,5.3,,a4,-,ORG,GENERAL,General Requirements,(4) Safety promotion in accordance with the requirements of Subpart E of this part; and
1,5,SUBPART A,-,5.3,,a5,-,ORG,GENERAL,General Requirements,(5) Sector specific requirements prescribed in the applicable appendices of this part.
