No,GACAR PART,SUBPART,APPENDIX,Subpart/ Appendix SECTION,Subpart / Appendix SUB-SECTION,OPS AREA,AREAS,SUBPART / APPENDIX HEADING,SUBPART SECTION / APPENDIX SECTION HEADING,REGULATION  STATEMENT,
,,,,,,,,,,,
1,7,SUBPART A,,7.1,a,,,GENERAL,Applicability.,"This part applies to the following persons:
(a) All commercial air operators certificated under GACAR Part 119 and authorized to conduct operations under GACAR Part 121 or Part 135;",
1,7,SUBPART A,,7.1,b,,,GENERAL,Applicability.,(b) All ground service providers certificated under GACAR Part 151;,
1,7,SUBPART A,,7.1,c,,,GENERAL,Applicability.,(c) All air traffic service providers certificated under GACAR Part 170 and authorized to provide air traffic services under GACAR Part 171; and,
1,7,SUBPART A,,7.1,d,,,GENERAL,Applicability.,"(d) All individuals who perform, either directly or by contract, a safety-sensitive function listed in paragraph (e) of this section for the certificate holders listed in paragraph (a), (b) or (c) of this section.",
1,7,SUBPART A,,7.1,e1,,,GENERAL,Applicability.,"(e) The safety-sensitive functions are:
(1) Flight crew member duties.",
1,7,SUBPART A,,7.1,e2,,,GENERAL,Applicability.,(2) Cabin crew member duties.,
1,7,SUBPART A,,7.1,e3,,,GENERAL,Applicability.,(3) Flight instruction duties.,
1,7,SUBPART A,,7.1,e4,,,GENERAL,Applicability.,(4) Aircraft dispatcher duties.,
1,7,SUBPART A,,7.1,e5,,,GENERAL,Applicability.,(5) Air traffic control duties.,
1,7,SUBPART A,,7.1,e6,,,GENERAL,Applicability.,(6) Ground support equipment operator duties.,
1,7,SUBPART A,,7.1,e7,,,GENERAL,Applicability.,(7) Aircraft marshaller duties.,
1,7,SUBPART A,,7.1,e8,,,GENERAL,Applicability.,(8) Dangerous goods handler duties.,
1,7,SUBPART A,,7.1,e9,,,GENERAL,Applicability.,(9) Aircraft mass and balance agent / load controller duties.,
1,7,SUBPART A,,7.1,e10,,,GENERAL,Applicability.,(10) Ramp supervisor / aircraft turnaround coordinator duties.,
1,7,SUBPART A,,7.3,-,,,GENERAL,Purpose.,The purpose of this part is to establish programs designed to help prevent accidents and injuries resulting from the problematic use of psychoactive substances by employees who perform safetysensitive functions in aviation.,
1,7,SUBPART A,,7.5,-,,,GENERAL,Use of Terms.,"The following terms used in this part have the meanings noted below:
Contractor is an individual or company that performs a safety-sensitive function by contract for an employer or another contractor. 
Covered employee means an individual who performs, either directly or by contract, a safetysensitive function listed for an employer.
Employee is an individual who is hired, either directly or by contract, to perform a safety-sensitive function for an employer. This includes full-time, part-time, temporary, and intermittent employees regardless of the degree of supervision.
Employer is a GACAR Part 119 certificate holder with authority to operate under GACAR Parts 121 and/or 135, a ground service provider certificated under GACAR Part 151, or an air traffic service provider certificated under GACAR Part 170 and authorized to provide air traffic services under GACAR Part 171. An employer may use a contract employee who is not included under that employer's programs to perform a safety-sensitive function only if that contract employee is included under the contractor's program and that contractor’s program is also acceptable to the President.
Performing (a safety-sensitive function) means an employee is considered to be performing a safety-sensitive function during any period in which he is actually performing, ready to perform, or immediately available to perform such function.",
1,7,SUBPART B,,7.21,a,,,EMPLOYER RESPONSIBILITIES,General.,"(a) Each employer must provide each employee performing a safety-sensitive function, and his supervisor, with the education and training specified in GACAR § 7.23.",
1,7,SUBPART B,,7.21,b,,,EMPLOYER RESPONSIBILITIES,General.,"(b) No employer may use any contractor to perform an safety-sensitive function unless that contractor provides each of its employees, and his supervisor, performing that function for the employer, with the education and training specified in GACAR § 7.23.",
1,7,SUBPART B,,7.23,a1,,,EMPLOYER RESPONSIBILITIES,Prevention Programs: Education and Training.,"(a) Education program. Each education program must include at least the following elements:
(1) Display and distribution of informational material pertaining to the problematic use of psychoactive substances in the aviation workplace;",
1,7,SUBPART B,,7.23,a2,,,EMPLOYER RESPONSIBILITIES,Prevention Programs: Education and Training.,(2) Display and distribution of the employer's policy regarding the problematic use of psychoactive substances in the workplace. The policy must include information regarding the consequences of using psychoactive substances while performing safety-sensitive functions.,
1,7,SUBPART B,,7.23,b1,,,EMPLOYER RESPONSIBILITIES,Prevention Programs: Education and Training.,"(b) Training program. Each employer must implement a program of initial and recurrent training for employees. The training program must be acceptable to the President. The employee training program must include at least the following elements:
(1) The effects and consequences of psychoactive substance use on individual health, safety, and work environment;",
1,7,SUBPART B,,7.23,b2,,,EMPLOYER RESPONSIBILITIES,Prevention Programs: Education and Training.,(2) The manifestations and behavioral cues that may indicate use and abuse of psychoactive substances;,
