No,GACAR PART,SUBPART,Subpart Section,Subpart Subsection,SUBPART HEADING,SUBPART SECTION HEADING,REGULATION  STATEMENT
1,117,A,117.1,A,General,Applicability,(a) This part prescribes flight and duty limitations and rest requirements for all flight crew members and certificate holders conducting operations under GACAR Part 121.
2,117,A,117.1,B,General,Applicability,(b) This part applies to all operations directed by certificate holders.
3,117,A,117.1,C,General,Applicability,"(c) Notwithstanding paragraphs (a) and (b) of this section, a certificate holder may conduct under GACAR Part 117 its GACAR Part 121 special unscheduled operations pursuant to GACAR §121.1001(b)."
4,117,A,117.3,-,General,Use of Terms,"The following terms used in this part have meanings as prescribed below. In the event there is a conflict in definitions GACAR Part 1 and the meanings used in this part, the meanings in this part take precedence.
Calendar day means a 24-hour period from 0000 through 2359 using Coordinated Universal Time or local time.
Certificate holder means a person who holds or is required to hold an air operator certificate issued under GACAR Part 119 for operations conducted under GACAR Part 121. Scheduled means to appoint, assign, or designate for a fixed time."
5,117,A,117.5,A,General,Fitness for Duty,(a) Each flight crew member must report for any flight duty period rested and prepared to perform his assigned duties.
6,117,A,117.5,B,General,Fitness for Duty,(b) No certificate holder may assign and no flight crew member may accept assignment to a flight duty period if the flight crew member has reported for a flight duty period too fatigued to safely perform his assigned duties
7,117,A,117.5,C,General,Fitness for Duty,(c) No certificate holder may permit a flight crew member to continue a flight duty period if the flight crew member has reported him or herself too fatigued to continue the assigned flight duty period.
8,117,A,117.5,D,General,Fitness for Duty,"(d) As part of the dispatch or flight release, as applicable, each flight crew member must affirmatively state he is fit for duty prior to commencing flight."
9,117,A,117.7,-,General,Fatigue Risk Management System,No certificate holder may exceed any provision of this part unless approved by the President under a Fatigue Risk Management System (FRMS) implemented as part of a Safety Management System and meeting the requirements of GACAR Part 5. The FRMS must provide at least an equivalent level of safety against fatigue-related accidents or incidents as the other provisions of this part.
10,117,A,117.9,A,General,Fatigue Education and Awareness Training Program,"(a) Each certificate holder must develop and implement an education and awareness training program, approved by the President. This program must provide annual education and awareness training to all employees of the certificate holder responsible for administering the provisions of this rule including flight crew members, dispatchers, individuals directly involved in the scheduling of flight crew members, individuals directly involved in operational control, and any employee providing direct management oversight of those areas."
11,117,A,117.9,B,General,Fatigue Education and Awareness Training Program,(b) The fatigue education and awareness training program must be designed to increase awareness of:                                                                                                                                                                                                                        
12,117,A,117.9,-,General,Fatigue Education and Awareness Training Program,(1) Fatigue;
13,117,A,117.9,-,General,Fatigue Education and Awareness Training Program,(2) The effects of fatigue on pilots; and
14,117,A,117.9,-,General,Fatigue Education and Awareness Training Program,(3) Fatigue countermeasures
15,117,A,117.9,C,General,Fatigue Education and Awareness Training Program,(c) Each certificate holder must update its fatigue education and awareness training program every two years and submit the update to the President for review and acceptance.
16,117,A,117.9,D,General,Fatigue Education and Awareness Training Program,"(d) Not later than 12 months after the date of submission of the fatigue education and awareness training program required by (c) of this section, the President must review and accept or reject the update. If the President rejects an update, the President must provide suggested modifications for resubmission of the update."
17,117,A,117.11,A,General,Flight Time Limitation,(a) No certificate holder may schedule and no flight crew member may accept an assignment orcontinue an assigned flight duty period if the total flight time:
18,117,A,117.11,-,General,Flight Time Limitation,(1) Will exceed the limits specified in Table A of this part if the operation is conducted with the minimum required flight crew.
19,117,A,117.11,-,General,Flight Time Limitation,(2) Will exceed 13 hours if the operation is conducted with a 3-pilot flight crew.
